0001	233168
0002	4613732
0003	6857
0004	906609
0005	232792560
0006	25164150
0007	104743
0008	23514624000
0009	31875000
0010	142913828922
0011	70600674
0012	76576500
0013	5537376230
0014	837799
0015	137846528820
0016	1366
0017	21124
0018	1074
0019	171
0020	648
0021	31626
0022	871198282
0023	4179871
0024	2783915460
0025	4782
0026	983

0028	669171001
0029	9183

0031	73682

0033	100

0036	872187

0038	932718654
0039	840
0040	210

0042	162

0046	5777

0048	9110846700

0053	4075

0057	153

0059	107359

0063	49

0065	272
0066	661
0067	7273

0076	190569291

0079	73162890

0081	427337

0083	425185

0089	743

0096	24702

0102	228

0120	333082500
0121	2269
